"dataset","method","classifier","TP_mean","TP_sd","TN_mean","TN_sd","FP_mean","FP_sd","FN_mean","FN_sd","Sensitivity_mean","Sensitivity_sd","Specificity_mean","Specificity_sd","Precision_mean","Precision_sd","F1_mean","F1_sd","Gmean_mean","Gmean_sd","BalancedAccuracy_mean","BalancedAccuracy_sd","MCC_mean","MCC_sd","AUPRC_mean","AUPRC_sd","AUROC_mean","AUROC_sd","runtime_seconds_mean","runtime_seconds_sd","n_train_original_mean","n_train_original_sd","n_train_final_mean","n_train_final_sd"
"credit_data","adasyn","knn",194.76,1.16476034731041,505.32,3.74966665185053,106.48,3.9170567181665,1.24,1.16476034731041,0.993673469387755,0.00594265483321638,0.825958326311704,0.0063406487112363,0.646628753390812,0.00856222098112682,0.7834044587649,0.00676952528979865,0.90593254369116,0.00435320947405787,0.90981589784973,0.00429022417819574,NA,NA,0.971465932308393,0.00537232332281628,0.987650159168443,0.00247375085634725,0.08108811378479,0.00886272958728445,3231.2,0.763762615825974,4848.4,1.52752523165195
"credit_data","adasyn","logit",148.76,0.66332495807108,472,2.44948974278318,139.8,2.04124145231931,47.24,0.66332495807108,0.758979591836735,0.00338431101056675,0.771492008413425,0.00346066392296759,0.515547518360799,0.00380163206057351,0.614008288115845,0.00321252685387041,0.765206588898628,0.0024342649937794,0.76523580012508,0.00243337749165631,NA,NA,0.60062549568878,0.00122783270931954,0.826665266504063,0.000618234283640966,0.08108811378479,0.00886272958728445,3231.2,0.763762615825974,4848.4,1.52752523165195
"credit_data","adasyn","rf",195.76,0.435889894354067,611.04,0.888819441731559,0.76,0.435889894354067,0.24,0.435889894354067,0.998775510204082,0.00222392803241869,0.99875774065332,0.000712486925938433,0.996142131979695,0.00221263905763487,0.997452347019126,5.67332271728289e-06,0.998765588480354,0.000756998522743191,0.998766625428701,0.000755722265021672,NA,NA,0.999982841626589,9.73996827316955e-06,0.999994495338694,3.12276450720701e-06,0.08108811378479,0.00886272958728445,3231.2,0.763762615825974,4848.4,1.52752523165195
"credit_data","adasyn","svm_rbf",196,0,609,0.866025403784439,2.8,0.408248290463863,0,0,1,0,0.995423334116684,0.000667316374247798,0.98591949647226,0.00203077673546818,0.992908822206516,0.00102829358004131,0.997708989036117,0.000334342036103613,0.997711667058342,0.000333658187123886,NA,NA,0.997693472886243,0.00260306957433296,0.999517278433557,0.000468904692467602,0.08108811378479,0.00886272958728445,3231.2,0.763762615825974,4848.4,1.52752523165195
"credit_data","adasyn","xgb",196,0,0,0,611.8,0.763762615825973,0,0,1,0,0,0,0.242634523583504,0.000229334464519416,0.3905162560326,0.000297056696889957,0,0,0.5,0,NA,NA,0.242634523583504,0.000229334464519422,0.5,0,0.08108811378479,0.00886272958728445,3231.2,0.763762615825974,4848.4,1.52752523165195
"credit_data","baseline","knn",115,0,577.8,0.763762615825973,34,0,81,0,0.586734693877551,0,0.944426199988312,6.93485252487732e-05,0.771812080536913,0,0.666666666666667,0,0.744397485637225,2.73301139645387e-05,0.765580446932931,3.46742626243684e-05,NA,NA,0.777722121828813,0,0.919508055565304,0.000100442972043966,4.91905212402344e-05,8.76511786546614e-06,3231.2,0.763762615825974,3231.2,0.763762615825974
"credit_data","baseline","logit",75,0,577.8,0.763762615825973,34,0,121,0,0.38265306122449,0,0.944426199988312,6.93485252487732e-05,0.688073394495413,0,0.491803278688525,0,0.601155201307028,2.20710581095725e-05,0.663539630606401,3.46742626243684e-05,NA,NA,0.606790631773886,0.000273644695620916,0.8286797446507,6.73799219419111e-05,4.91905212402344e-05,8.76511786546614e-06,3231.2,0.763762615825974,3231.2,0.763762615825974
"credit_data","baseline","rf",193.32,1.14455231422596,611.8,0.763762615825973,0,0,2.68,1.14455231422596,0.986326530612245,0.00583955262360186,1,0,1,0,0.993107853002729,0.00295846867008362,0.993135558580161,0.00293912116900282,0.993163265306122,0.00291977631180094,NA,NA,0.999985965365809,5.20623203374981e-06,0.999995496830398,1.6670565121797e-06,4.91905212402344e-05,8.76511786546614e-06,3231.2,0.763762615825974,3231.2,0.763762615825974
"credit_data","baseline","svm_rbf",190.16,0.374165738677394,610.8,0.763762615825973,1,0,5.84,0.374165738677394,0.970204081632653,0.00190900887080305,0.998365476470244,2.03966250729798e-06,0.994768760907504,1.02030360677411e-05,0.982331974746264,0.00098178761447363,0.984183601650987,0.000967365591587475,0.984284779051449,0.000954475102093738,NA,NA,0.999702099134889,0,0.999904096833713,1.19674075718051e-07,4.91905212402344e-05,8.76511786546614e-06,3231.2,0.763762615825974,3231.2,0.763762615825974
"credit_data","baseline","xgb",196,0,0,0,611.8,0.763762615825973,0,0,1,0,0,0,0.242634523583504,0.000229334464519416,0.3905162560326,0.000297056696889957,0,0,0.5,0,NA,NA,0.242634523583504,0.000229334464519422,0.5,0,4.91905212402344e-05,8.76511786546614e-06,3231.2,0.763762615825974,3231.2,0.763762615825974
